03:03:53 : CPU 20.0%, MEM 4.9%
03:03:54 : CPU 25.0%, MEM 4.9%
03:03:55 : CPU 18.8%, MEM 4.9%
03:03:56 : CPU 20.0%, MEM 4.9%
03:03:57 : CPU 20.0%, MEM 4.9%
03:03:59 : CPU 26.7%, MEM 4.9%
03:04:00 : CPU 20.0%, MEM 4.9%
03:04:01 : CPU 20.0%, MEM 4.9%
03:04:02 : CPU 18.8%, MEM 4.9%
03:04:03 : CPU 25.0%, MEM 4.9%
03:04:04 : CPU 25.0%, MEM 4.9%
03:04:06 : CPU 20.0%, MEM 4.9%
03:04:07 : CPU 13.3%, MEM 4.9%
03:04:08 : CPU 13.3%, MEM 4.9%
03:04:09 : CPU 13.3%, MEM 4.9%
03:04:10 : CPU 18.8%, MEM 4.9%
03:04:11 : CPU 18.8%, MEM 4.9%
03:04:13 : CPU 20.0%, MEM 4.9%
03:04:14 : CPU 20.0%, MEM 4.9%
03:04:15 : CPU 13.3%, MEM 4.9%
03:04:16 : CPU 13.3%, MEM 4.9%
03:04:17 : CPU 18.8%, MEM 4.9%
