03:12:08 : CPU 0.0%, MEM 21.4%
03:12:10 : CPU 0.0%, MEM 21.4%
03:12:11 : CPU 0.0%, MEM 21.4%
03:12:12 : CPU 6.7%, MEM 21.4%
03:12:13 : CPU 0.0%, MEM 21.4%
03:12:14 : CPU 0.0%, MEM 21.4%
03:12:15 : CPU 0.0%, MEM 21.4%
03:12:16 : CPU 0.0%, MEM 21.4%
03:12:18 : CPU 6.7%, MEM 21.4%
03:12:19 : CPU 31.2%, MEM 21.4%
03:12:20 : CPU 31.2%, MEM 21.4%
03:12:21 : CPU 31.2%, MEM 21.4%
03:12:22 : CPU 33.3%, MEM 21.4%
03:12:23 : CPU 33.3%, MEM 21.4%
03:12:25 : CPU 46.7%, MEM 21.4%
03:12:26 : CPU 40.0%, MEM 21.4%
03:12:27 : CPU 33.3%, MEM 21.4%
03:12:28 : CPU 40.0%, MEM 21.4%
03:12:29 : CPU 43.8%, MEM 21.4%
03:12:30 : CPU 37.5%, MEM 21.4%
03:12:32 : CPU 37.5%, MEM 21.4%
03:12:33 : CPU 37.5%, MEM 21.4%
03:12:34 : CPU 33.3%, MEM 21.4%
03:12:35 : CPU 33.3%, MEM 21.4%
03:12:36 : CPU 40.0%, MEM 21.4%
03:12:37 : CPU 40.0%, MEM 21.4%
03:12:39 : CPU 40.0%, MEM 21.4%
03:12:40 : CPU 33.3%, MEM 21.4%
03:12:41 : CPU 37.5%, MEM 21.4%
03:12:42 : CPU 43.8%, MEM 21.4%
03:12:43 : CPU 31.2%, MEM 21.4%
03:12:44 : CPU 40.0%, MEM 21.4%
03:12:46 : CPU 33.3%, MEM 21.4%
03:12:47 : CPU 40.0%, MEM 21.4%
03:12:48 : CPU 46.7%, MEM 21.4%
03:12:49 : CPU 40.0%, MEM 21.4%
03:12:50 : CPU 40.0%, MEM 21.4%
03:12:51 : CPU 37.5%, MEM 21.4%
03:12:52 : CPU 37.5%, MEM 21.4%
03:12:54 : CPU 31.2%, MEM 21.4%
03:12:55 : CPU 40.0%, MEM 21.4%
03:12:56 : CPU 40.0%, MEM 21.4%
03:12:57 : CPU 46.7%, MEM 21.4%
03:12:58 : CPU 40.0%, MEM 21.4%
03:12:59 : CPU 33.3%, MEM 21.4%
03:13:01 : CPU 31.2%, MEM 21.4%
03:13:02 : CPU 40.0%, MEM 21.4%
03:13:03 : CPU 40.0%, MEM 21.4%
