02:47:42 : CPU 20.0%, MEM 5.0%
02:47:43 : CPU 12.5%, MEM 5.0%
02:47:44 : CPU 25.0%, MEM 5.0%
02:47:45 : CPU 12.5%, MEM 5.0%
02:47:46 : CPU 20.0%, MEM 5.0%
02:47:48 : CPU 20.0%, MEM 5.0%
02:47:49 : CPU 20.0%, MEM 5.0%
02:47:50 : CPU 20.0%, MEM 5.0%
02:47:51 : CPU 18.8%, MEM 5.0%
02:47:52 : CPU 12.5%, MEM 5.0%
02:47:53 : CPU 26.7%, MEM 5.0%
02:47:55 : CPU 20.0%, MEM 5.0%
02:47:56 : CPU 13.3%, MEM 5.0%
02:47:57 : CPU 26.7%, MEM 5.0%
02:47:58 : CPU 20.0%, MEM 5.0%
02:47:59 : CPU 20.0%, MEM 5.0%
02:48:00 : CPU 12.5%, MEM 5.0%
02:48:02 : CPU 12.5%, MEM 5.0%
02:48:03 : CPU 13.3%, MEM 5.0%
02:48:04 : CPU 13.3%, MEM 5.0%
02:48:05 : CPU 20.0%, MEM 5.0%
02:48:06 : CPU 13.3%, MEM 5.0%
02:48:07 : CPU 12.5%, MEM 5.0%
02:48:09 : CPU 18.8%, MEM 5.0%
02:48:10 : CPU 26.7%, MEM 5.0%
02:48:11 : CPU 20.0%, MEM 5.0%
02:48:12 : CPU 20.0%, MEM 5.0%
02:48:13 : CPU 26.7%, MEM 5.0%
02:48:14 : CPU 13.3%, MEM 5.0%
02:48:15 : CPU 18.8%, MEM 5.0%
02:48:17 : CPU 20.0%, MEM 5.0%
02:48:18 : CPU 20.0%, MEM 5.0%
02:48:19 : CPU 26.7%, MEM 5.0%
02:48:20 : CPU 20.0%, MEM 5.0%
02:48:21 : CPU 18.8%, MEM 5.0%
02:48:22 : CPU 25.0%, MEM 5.0%
02:48:24 : CPU 20.0%, MEM 5.0%
