03:15:34 : CPU 37.5%, MEM 21.8%
03:15:36 : CPU 33.3%, MEM 21.8%
03:15:37 : CPU 40.0%, MEM 21.8%
03:15:38 : CPU 40.0%, MEM 21.8%
03:15:39 : CPU 33.3%, MEM 21.8%
03:15:40 : CPU 33.3%, MEM 21.8%
03:15:41 : CPU 53.3%, MEM 21.8%
03:15:43 : CPU 37.5%, MEM 21.8%
03:15:44 : CPU 31.2%, MEM 21.8%
03:15:45 : CPU 40.0%, MEM 21.8%
03:15:46 : CPU 40.0%, MEM 21.8%
03:15:47 : CPU 33.3%, MEM 21.8%
03:15:48 : CPU 46.7%, MEM 21.8%
03:15:50 : CPU 31.2%, MEM 21.8%
03:15:51 : CPU 40.0%, MEM 21.8%
03:15:52 : CPU 33.3%, MEM 21.8%
03:15:53 : CPU 33.3%, MEM 21.8%
03:15:54 : CPU 46.7%, MEM 21.8%
03:15:55 : CPU 40.0%, MEM 21.8%
03:15:57 : CPU 6.7%, MEM 21.8%
