00:18:43 : CPU 40.0%, MEM 21.3%
00:18:44 : CPU 40.0%, MEM 21.3%
00:18:45 : CPU 40.0%, MEM 21.3%
00:18:46 : CPU 33.3%, MEM 21.3%
00:18:47 : CPU 31.2%, MEM 21.3%
00:18:48 : CPU 43.8%, MEM 21.3%
00:18:50 : CPU 46.7%, MEM 21.3%
00:18:51 : CPU 40.0%, MEM 21.3%
00:18:52 : CPU 40.0%, MEM 21.3%
00:18:53 : CPU 40.0%, MEM 21.3%
00:18:54 : CPU 40.0%, MEM 21.3%
00:18:55 : CPU 33.3%, MEM 21.3%
00:18:57 : CPU 40.0%, MEM 21.3%
00:18:58 : CPU 33.3%, MEM 21.3%
00:18:59 : CPU 46.7%, MEM 21.3%
00:19:00 : CPU 31.2%, MEM 21.3%
00:19:01 : CPU 33.3%, MEM 21.3%
00:19:02 : CPU 40.0%, MEM 21.3%
00:19:04 : CPU 33.3%, MEM 21.3%
00:19:05 : CPU 46.7%, MEM 21.3%
00:19:06 : CPU 43.8%, MEM 21.3%
00:19:07 : CPU 37.5%, MEM 21.3%
00:19:08 : CPU 37.5%, MEM 21.3%
00:19:09 : CPU 37.5%, MEM 21.3%
00:19:11 : CPU 40.0%, MEM 21.3%
00:19:12 : CPU 33.3%, MEM 21.3%
00:19:13 : CPU 40.0%, MEM 21.3%
00:19:14 : CPU 46.7%, MEM 21.3%
00:19:15 : CPU 40.0%, MEM 21.3%
00:19:16 : CPU 40.0%, MEM 21.3%
00:19:17 : CPU 40.0%, MEM 21.3%
00:19:19 : CPU 33.3%, MEM 21.3%
00:19:20 : CPU 37.5%, MEM 21.3%
00:19:21 : CPU 43.8%, MEM 21.3%
00:19:22 : CPU 43.8%, MEM 21.3%
00:19:23 : CPU 37.5%, MEM 21.3%
00:19:24 : CPU 31.2%, MEM 21.3%
00:19:26 : CPU 33.3%, MEM 21.3%
00:19:27 : CPU 40.0%, MEM 21.3%
00:19:28 : CPU 40.0%, MEM 21.3%
00:19:29 : CPU 46.7%, MEM 21.4%
