03:13:28 : CPU 33.3%, MEM 21.4%
03:13:30 : CPU 60.0%, MEM 21.4%
03:13:31 : CPU 40.0%, MEM 21.4%
03:13:32 : CPU 46.7%, MEM 21.4%
03:13:33 : CPU 40.0%, MEM 21.4%
03:13:34 : CPU 33.3%, MEM 21.4%
03:13:35 : CPU 43.8%, MEM 21.4%
03:13:37 : CPU 37.5%, MEM 21.4%
03:13:38 : CPU 33.3%, MEM 21.4%
03:13:39 : CPU 40.0%, MEM 21.4%
03:13:40 : CPU 40.0%, MEM 21.4%
03:13:41 : CPU 40.0%, MEM 21.4%
03:13:42 : CPU 31.2%, MEM 21.4%
03:13:44 : CPU 31.2%, MEM 21.4%
03:13:45 : CPU 37.5%, MEM 21.4%
03:13:46 : CPU 46.7%, MEM 21.4%
03:13:47 : CPU 33.3%, MEM 21.4%
03:13:48 : CPU 33.3%, MEM 21.4%
03:13:49 : CPU 33.3%, MEM 21.4%
03:13:51 : CPU 33.3%, MEM 21.4%
03:13:52 : CPU 37.5%, MEM 21.4%
03:13:53 : CPU 37.5%, MEM 21.4%
03:13:54 : CPU 46.7%, MEM 21.4%
03:13:55 : CPU 33.3%, MEM 21.4%
03:13:56 : CPU 33.3%, MEM 21.4%
03:13:57 : CPU 40.0%, MEM 21.4%
03:13:59 : CPU 40.0%, MEM 21.4%
03:14:00 : CPU 40.0%, MEM 21.4%
03:14:01 : CPU 31.2%, MEM 21.4%
